"id","series_name","image","rank","count","brand_name","type","sub_brand_name","min_price","max_price","month"
"1","五菱宏光MINIEV","https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png","1","20346","五菱汽车","微型车","上汽通用五菱","2.68","9.99","202305"
"2","长安Lumin","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png","2","8491","长安","微型车","长安汽车","3.69","6.19","202305"
"3","熊猫","https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/faf3420cf3fd4f949f777c2ad1d1d0cc~tplv-resize:640:0.png","3","7215","吉利汽车","微型车","吉利汽车","2.99","5.19","202305"
"4","QQ冰淇淋","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b949ba428bc143aeb2bcfdef93eb7f61~tplv-resize:640:0.png","4","5358","奇瑞新能源","微型车","奇瑞新能源","2.99","5.69","202305"
"5","零跑T03","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/464986d3ad5845e9aac85a6960479de0~tplv-resize:640:0.png","5","1994","零跑汽车","微型车","零跑汽车","4.39","6.39","202305"
"6","CLEVER","https://p3-dcd.byteimg.com/img/motor-mis-img/0df783917aab490ada07cd607aa9dedf~tplv-resize:640:0.png","6","1779","荣威","微型车","上汽集团","5.20","5.20","202305"
"7","小蚂蚁","https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c582d200e0fe44c7b1b5f3b6134c8849~tplv-resize:640:0.png","7","1429","奇瑞新能源","微型车","奇瑞新能源","5.99","9.30","202305"
"8","凌宝BOX","https://p3-dcd.byteimg.com/img/motor-mis-img/9d72dc64d09e5287ae96d903ebcc638d~tplv-resize:640:0.png","8","976","凌宝汽车","微型车","吉麦新能源","3.79","6.88","202305"
"9","元宝","https://p3-dcd.byteimg.com/img/motor-mis-img/99bb51329fafa5120ad763c8e97a3c22~tplv-resize:640:0.png","9","916","北汽制造","微型车","北京汽车制造厂","2.97","5.19","202305"
"10","奔奔E-Star","https://p3-dcd.byteimg.com/img/motor-mis-img/5a66c6bc0c1d71c7e6f68f53b902d1b9~tplv-resize:640:0.png","10","771","长安欧尚","微型车","长安汽车","6.79","6.79","202305"
"11","五菱Air ev晴空","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c27ef5a5a234a1d8d74da44fb388893~tplv-resize:640:0.png","11","546","五菱汽车","微型车","上汽通用五菱","5.78","6.98","202305"
"12","凌宝Uni","https://p3-dcd.byteimg.com/img/motor-mis-img/f0549e706e22b4bef069b9e470c55ff3~tplv-resize:640:0.png","12","346","凌宝汽车","微型车","吉麦新能源","2.98","4.18","202305"
"13","宝骏KiWi EV","https://p9-dcd.byteimg.com/img/motor-mis-img/efdc6c8ac11f8f256a1a69c114935b01~tplv-resize:640:0.png","13","290","宝骏","微型车","上汽通用五菱","7.48","7.98","202305"
"14","家宝","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/256820b920584246bf5b90be9d840797~tplv-resize:640:0.png","14","220","北汽制造","微型车","北京汽车制造厂","3.98","5.69","202305"
"15","风光MINIEV","https://p9-dcd.byteimg.com/img/motor-mis-img/d7c240b7c803e1ce776dddab51d26248~tplv-resize:640:0.png","15","219","东风风光","微型车","东风小康","3.26","5.91","202305"
"16","小麒麟","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d13f128f45534d52b3ea09b9214b96b2~tplv-resize:640:0.png","16","211","江铃集团新能源","微型车","江铃集团新能源","4.99","5.19","202305"
"17","无界Pro","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/43d183c57f8343339359a58dd2d7c8d8~tplv-resize:640:0.png","17","205","奇瑞新能源","微型车","奇瑞新能源","8.49","11.09","202305"
"18","YOUNG光小新","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3521e3d04aa24f698224fa2dbc7e335f~tplv-resize:640:0.png","18","148","电动屋","微型车","电动屋","6.58","8.48","202305"
"19","思皓花仙子","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a7c73fd87fe459f9f75a1ebdcf7c74a~tplv-resize:640:0.png","19","145","思皓","微型车","江汽集团","5.99","7.29","202305"
"20","小虎FEV","https://p9-dcd.byteimg.com/img/motor-mis-img/9265da77f9e501614776f2afe7afa78f~tplv-resize:640:0.png","20","82","小虎","微型车","宏瑞汽车","4.19","5.59","202305"
"21","易至EV3","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/85b368807a6e4a4384b8b605eebe55bf~tplv-resize:640:0.png","21","12","江铃集团新能源","微型车","江铃集团新能源","5.28","6.68","202305"
"22","海豚","https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4f90467b59e54ad7a74c035d516e7772~tplv-resize:640:0.png","1","29081","比亚迪","小型车","比亚迪","9.98","12.98","202305"
"23","五菱缤果","https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7874a5c08b544f70ba7e8647e0ef0879~tplv-resize:640:0.png","2","14164","五菱汽车","小型车","上汽通用五菱","5.58","8.48","202305"
"24","海鸥","https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/57f96638e8d34ce282039ad70270aa98~tplv-resize:640:0.png","3","8427","比亚迪","小型车","比亚迪","6.98","8.58","202305"
