brand_name,count
AITO,18135
ARCFOX极狐,6557
DS,303
SWM斯威汽车,14873
smart,19711
一汽,267
上汽大通MAXUS,9926
东南,512
东风富康,771
东风纳米,10507
东风风光,11234
东风风神,42339
东风风行,21601
中国重汽VGV,1755
丰田,589792
五菱汽车,202958
凌宝汽车,6236
凯翼,19100
凯迪拉克,71535
创维汽车,5456
别克,190631
北京,15048
北京汽车,25437
北汽制造,2674
合创汽车,11647
吉利几何,33560
吉利汽车,311343
名爵,37346
启辰,27946
哈弗,165483
哪吒汽车,42505
国金汽车,5850
坦克,41971
埃安,166323
大众,759799
大运,6552
奇瑞,112967
奇瑞新能源,31214
奔腾,24518
奔驰,244883
奥迪,228096
宝马,257902
宝骏,3279
小虎,475
小鹏汽车,29838
岚图,13062
广汽传祺,132309
广汽集团,36
思皓,37033
思铭,1483
捷豹,8272
捷达,63535
捷途,54914
斯柯达,8485
日产,219866
星途,15188
智己汽车,7783
曹操汽车,3078
本田,414617
极氪,32629
林肯,24140
标致,15363
欧拉,28859
比亚迪,877080
江淮瑞风,7966
江淮钇为,348
江铃集团新能源,1833
沃尔沃,53414
海马,7280
深蓝汽车,31872
特斯拉,219893
现代,95323
理念,81
理想汽车,98373
电动屋,1113
睿蓝汽车,6440
福特,60372
红旗,107299
腾势,45534
英菲尼迪,3188
荣威,59084
蓝电,1109
蔚来,43854
起亚,17644
路虎,13008
长安,377167
长安欧尚,88817
阿维塔,9002
雪佛兰,64410
雪铁龙,11973
零跑汽车,31293
领克,61628
飞凡汽车,4900
马自达,17324
高合,1776
魏牌,11132
